title,genre,background,combined
Cyborg 009 (TV),"Action, Adventure, Mecha, Sci-Fi, Shounen","Cyborg 009 repurposed the theme songs from the previously released movies, but the show was animated in black and white. It remained fairly true to the source manga, although one character was change into a young child. The anime has obvious visual ties to the groundbreaking Astro Boy, and was marketed in some countries as ""Astro Boy 009"").","Action, Adventure, Mecha, Sci-Fi, Shounen Cyborg 009 repurposed the theme songs from the previously released movies, but the show was animated in black and white. It remained fairly true to the source manga, although one character was change into a young child. The anime has obvious visual ties to the groundbreaking Astro Boy, and was marketed in some countries as ""Astro Boy 009"")."
Sakasama no Patema,"Sci-Fi, Seinen",Sakasema no Patema was shown at selected countries like the UK while Cinedigm handled the Blu-ray and DVD releases for North America. Patema Inverted won the Audience Award and the Judges Award during the 2013 Scotland Loves Anime. It was also nominated for Best Animated Feature Film during the 7th Asia Pacific Screen Awards. ,"Sci-Fi, Seinen Sakasema no Patema was shown at selected countries like the UK while Cinedigm handled the Blu-ray and DVD releases for North America. Patema Inverted won the Audience Award and the Judges Award during the 2013 Scotland Loves Anime. It was also nominated for Best Animated Feature Film during the 7th Asia Pacific Screen Awards. "
Duel Masters: Hamukatsu to Dogiragon no Curry-pan Daibouken,"Action, Adventure, Comedy, Shounen","The film was aired on 360-degree panorama screens from March 19 to April 3, 2016.","Action, Adventure, Comedy, Shounen The film was aired on 360-degree panorama screens from March 19 to April 3, 2016."
Nisemonogatari,"Mystery, Comedy, Supernatural, Ecchi","Aside from the anime and books, there is also a visual novel for the Playstation Portable that tackles part of the series.","Mystery, Comedy, Supernatural, Ecchi Aside from the anime and books, there is also a visual novel for the Playstation Portable that tackles part of the series."
McDull: Gushi,Comedy,The film won Best Animation Feature at the 39th Golden Horse Awards.,Comedy The film won Best Animation Feature at the 39th Golden Horse Awards.
JRA Hokan Keikaku,"Action, Mecha","Several alternate versions of these advertisements were also created, with slight differences in footage and runtime.","Action, Mecha Several alternate versions of these advertisements were also created, with slight differences in footage and runtime."
Denpa-teki na Kanojo,"Mystery, Thriller, School",First episode aired online from Feb 4th - 8th on Bandai Channel.,"Mystery, Thriller, School First episode aired online from Feb 4th - 8th on Bandai Channel."
Kyoushirou to Towa no Sora Specials,"Drama, Magic, Romance, Shounen",ADV Films released only the first two specials on the first of three planned DVD releases before the license to the Kyoushirou to Towa no Sora TV series was transferred to FUNimation Entertainment in mid-2008 following ADV Films&#039; fallout with Sojitz Corporation.,"Drama, Magic, Romance, Shounen ADV Films released only the first two specials on the first of three planned DVD releases before the license to the Kyoushirou to Towa no Sora TV series was transferred to FUNimation Entertainment in mid-2008 following ADV Films&#039; fallout with Sojitz Corporation."
Sekirei,"Action, Comedy, Ecchi, Harem, Super Power","Sekirei&#039;s English adaptation was done by FUNimation in 2010, two years after its initial Japanese release. The series covers approximately the first fifty chapters of the manga on which it is based.","Action, Comedy, Ecchi, Harem, Super Power Sekirei&#039;s English adaptation was done by FUNimation in 2010, two years after its initial Japanese release. The series covers approximately the first fifty chapters of the manga on which it is based."
Ojisan to Marshmallow Special,Comedy,The episode was simultaneously streamed via Crunchyroll.,Comedy The episode was simultaneously streamed via Crunchyroll.
Qin Shi Ming Yue: Yi Zhe Ru Shi,"Drama, Historical",It&#039;s adapted from the Champion of Qin&#039;s Moon 10-Year Anniversary Fanwork Competition.,"Drama, Historical It&#039;s adapted from the Champion of Qin&#039;s Moon 10-Year Anniversary Fanwork Competition."
Hana to Mogura,Comedy,Winner of the 1970 Oofuji Noburou Award.,Comedy Winner of the 1970 Oofuji Noburou Award.
MÄR,"Action, Adventure, Comedy, Fantasy, Shounen","VIZ Media licensed only the first 52 episodes of M&Auml;R, and released only the first 16 on DVD before cancelling the rest of the releases.","Action, Adventure, Comedy, Fantasy, Shounen VIZ Media licensed only the first 52 episodes of M&Auml;R, and released only the first 16 on DVD before cancelling the rest of the releases."
Cello Hiki no Gauche (1982),"Music, Kids, Drama, Fantasy",Winner of the 1981 Oofuji Noburou Award at the Mainichi Film Awards.,"Music, Kids, Drama, Fantasy Winner of the 1981 Oofuji Noburou Award at the Mainichi Film Awards."
Shingeki no Kyojin,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","Shingeki no Kyojin adapts content from the first 8 volumes of Hajime Isayama&#039;s award-winning manga of the same name.The last episode received a pre-airing in Tokyo, Marunouchi Piccadilly 1 theater on Saturday, September 28, 2013. TV broadcast took place after midnight, a few hours later.","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen Shingeki no Kyojin adapts content from the first 8 volumes of Hajime Isayama&#039;s award-winning manga of the same name.The last episode received a pre-airing in Tokyo, Marunouchi Piccadilly 1 theater on Saturday, September 28, 2013. TV broadcast took place after midnight, a few hours later."
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen","The OVA was bundled with the book Trouble Chronicle, released for the 10th anniversary of the franchise.","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen The OVA was bundled with the book Trouble Chronicle, released for the 10th anniversary of the franchise."
Utawarerumono: Itsuwari no Kamen,"Action, Drama, Fantasy","Utawarerumono: Itsuwari no Kamen is an adaptation of the visual novel of the same name.Although it came out nearly a decade later, Utawarerumono: Itsuwari no Kamen shares a number of characters and voice actors with the first series, Utawaremono. ","Action, Drama, Fantasy Utawarerumono: Itsuwari no Kamen is an adaptation of the visual novel of the same name.Although it came out nearly a decade later, Utawarerumono: Itsuwari no Kamen shares a number of characters and voice actors with the first series, Utawaremono. "
Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha","Shinseiki Evangelion Gekijouban: The End of Evangelion is an alternate version of the series ending, which either supplements or replaces episodes 25 and 26, depending on how they are viewed.The movie was awarded the Animage Anime Grand Prix prize for 1997, the Japan Academy Prize for Biggest Public Sensation of the Year, and Special Audience Choice Award by the 1997 Animation Kobe.","Sci-Fi, Dementia, Psychological, Drama, Mecha Shinseiki Evangelion Gekijouban: The End of Evangelion is an alternate version of the series ending, which either supplements or replaces episodes 25 and 26, depending on how they are viewed.The movie was awarded the Animage Anime Grand Prix prize for 1997, the Japan Academy Prize for Biggest Public Sensation of the Year, and Special Audience Choice Award by the 1997 Animation Kobe."
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,"Action, Comedy, Sports, Shounen","Counterattack! The Underground Space Choujin is the fourth theatrical film based on the anime series Kinnikuman. It was released in Japan on July 13, 1985 alongside Dr. Slump and Arale-chan: Hoyoyo! Dream Capital Mecha Police, Captain Tsubasa: Great Europe Play-Off, and Dengeki Sentai Changeman: Shuttle Base Showdown. It is set after the Golden Mask Arc.It is the first film to feature the character Geronimo and the last film where Eiji Kanie supplies the voice of Ramenman. It is also the shortest film of the series. It is based on theKinnikuman special chapter Robin Memo (ロビン･メモ).(Source: Kinnikuman Wiki)","Action, Comedy, Sports, Shounen Counterattack! The Underground Space Choujin is the fourth theatrical film based on the anime series Kinnikuman. It was released in Japan on July 13, 1985 alongside Dr. Slump and Arale-chan: Hoyoyo! Dream Capital Mecha Police, Captain Tsubasa: Great Europe Play-Off, and Dengeki Sentai Changeman: Shuttle Base Showdown. It is set after the Golden Mask Arc.It is the first film to feature the character Geronimo and the last film where Eiji Kanie supplies the voice of Ramenman. It is also the shortest film of the series. It is based on theKinnikuman special chapter Robin Memo (ロビン･メモ).(Source: Kinnikuman Wiki)"
Yu☆Gi☆Oh!: Hikari no Pyramid,"Adventure, Comedy, Fantasy, Game","Yu☆Gi☆Oh!: Hikari no Pyramid is a sequel of the US storyline of Yu-Gi-Oh! Duel Monsters. As a promotional deal for the movie, filmgoers received 1 of 4 Yu-Gi-Oh! TCG cards for purchasing a ticket: Pyramid of Light, Blue-Eyes Shining Dragon, Sorcerer of Dark Magic, and Watapon.","Adventure, Comedy, Fantasy, Game Yu☆Gi☆Oh!: Hikari no Pyramid is a sequel of the US storyline of Yu-Gi-Oh! Duel Monsters. As a promotional deal for the movie, filmgoers received 1 of 4 Yu-Gi-Oh! TCG cards for purchasing a ticket: Pyramid of Light, Blue-Eyes Shining Dragon, Sorcerer of Dark Magic, and Watapon."
Otogi Manga Calendar,Historical,"Otogi Manga Calendar was broadcast Mondays through Saturdays by Tokyo Broadcasting System. After the conclusion of the series in 1964, episodes were rebroadcast on June 27, July 4, and July 11.","Historical Otogi Manga Calendar was broadcast Mondays through Saturdays by Tokyo Broadcasting System. After the conclusion of the series in 1964, episodes were rebroadcast on June 27, July 4, and July 11."
Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Supernatural, Magic, Fantasy","Episodes 1, 2, and 3 were previewed at a screening at Shinjuku Wald 9 in Tokyo on March 28, 2015. Regular broadcasting began on April 5, 2015.","Action, Supernatural, Magic, Fantasy Episodes 1, 2, and 3 were previewed at a screening at Shinjuku Wald 9 in Tokyo on March 28, 2015. Regular broadcasting began on April 5, 2015."
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.","Comedy, Ecchi, Romance, Shounen, Supernatural",The anime was streamed by Crunchyroll during its airing. The source material has also spawned a live-action film and a light novel series.,"Comedy, Ecchi, Romance, Shounen, Supernatural The anime was streamed by Crunchyroll during its airing. The source material has also spawned a live-action film and a light novel series."
Oni,"Demons, Historical, Supernatural",Winner of the 1972 Oofuji Noburou Award.,"Demons, Historical, Supernatural Winner of the 1972 Oofuji Noburou Award."
Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha","Full Metal Panic! adapts the first 3 novels of Shoji Gatoh&#039;s light novel series of the same title, as well as content from the first 3 novels of the spin off series Full Metal Panic! Tanpenshuu. Episodes 14 to 17 are an anime original story.","Action, Military, Sci-Fi, Comedy, Mecha Full Metal Panic! adapts the first 3 novels of Shoji Gatoh&#039;s light novel series of the same title, as well as content from the first 3 novels of the spin off series Full Metal Panic! Tanpenshuu. Episodes 14 to 17 are an anime original story."
Rokka no Yuusha,"Action, Adventure, Fantasy, Magic, Mystery","Rokka no Yuusha adapts the first novel of Ishio Yamagata&#039;s light novel series of the same title.Pony Canyon USA localized the series as Rokka: Braves of the Six Flowers in the US in 2015, but cancelled the standard edition Blu-Ray/DVD version of the series in favor of making the collector&rsquo;s edition a more attractive purchase for fans.","Action, Adventure, Fantasy, Magic, Mystery Rokka no Yuusha adapts the first novel of Ishio Yamagata&#039;s light novel series of the same title.Pony Canyon USA localized the series as Rokka: Braves of the Six Flowers in the US in 2015, but cancelled the standard edition Blu-Ray/DVD version of the series in favor of making the collector&rsquo;s edition a more attractive purchase for fans."
Monster Strike: Mermaid Rhapsody,"Action, Fantasy, Game","The episode was originally scheduled for July 30, 2016, but was delayed until August 14.","Action, Fantasy, Game The episode was originally scheduled for July 30, 2016, but was delayed until August 14."
Shirobako,"Comedy, Drama",Shirobako won the Animation Kobe Television Award in 2015.,"Comedy, Drama Shirobako won the Animation Kobe Television Award in 2015."
Nono-chan Theater,Comedy,"The shorts were animated in Flash and streamed on the Asahi Shimbun website to celebrate the anniversary of the manga series. A September trial period could be accessed for free. New episodes were streamed weekly, Monday - Friday.","Comedy The shorts were animated in Flash and streamed on the Asahi Shimbun website to celebrate the anniversary of the manga series. A September trial period could be accessed for free. New episodes were streamed weekly, Monday - Friday."
Fortune Arterial: Akai Yakusoku,"Comedy, Romance, School, Supernatural, Vampire",Preview airing on October 2nd. Regular airing started on October 9th.,"Comedy, Romance, School, Supernatural, Vampire Preview airing on October 2nd. Regular airing started on October 9th."
Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Tenkuu no Shiro Laputa was the first film to be produced and released by Studio Ghibli. It won the Animage Anime Grand Prix in 1986.,"Adventure, Fantasy, Romance, Sci-Fi Tenkuu no Shiro Laputa was the first film to be produced and released by Studio Ghibli. It won the Animage Anime Grand Prix in 1986."
Black Jack the Movie,Drama,Black Jack The Movie won the Best Animated Film at the Mainichi Film Concours in 1996.,Drama Black Jack The Movie won the Best Animated Film at the Mainichi Film Concours in 1996.
Concrete Revolutio: Choujin Gensou,"Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural","Anime Consortium Japan (ACJ) revealed the original production Concrete Revolutio: Choujin Gensou at Anime Expo 2015 in Los Angeles. The project had previously been teased by scriptwriter Shou Aikawa in the Tokusatsu Hiho magazine, published in May 2015, under the tentative title Choujin Gensou. Aikawa indicated that the project would be a superhero story in a setting similar to the American comic book series Watchmen.","Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural Anime Consortium Japan (ACJ) revealed the original production Concrete Revolutio: Choujin Gensou at Anime Expo 2015 in Los Angeles. The project had previously been teased by scriptwriter Shou Aikawa in the Tokusatsu Hiho magazine, published in May 2015, under the tentative title Choujin Gensou. Aikawa indicated that the project would be a superhero story in a setting similar to the American comic book series Watchmen."
Zankyou no Terror,"Mystery, Psychological, Thriller","Episodes 1 and 2 were previewed at a screening in Los Angeles at Anime Expo on July 5, 2014. Regular broadcasting began on July 11, 2014.In an interview with Otaku USA Magazine director Shinichirou Watanabe stated that the music of Icelandic band Sigur R&oacute;s gave him visual images that inspired the series and its soundtrack. He also states that the team went to Iceland to record the music.","Mystery, Psychological, Thriller Episodes 1 and 2 were previewed at a screening in Los Angeles at Anime Expo on July 5, 2014. Regular broadcasting began on July 11, 2014.In an interview with Otaku USA Magazine director Shinichirou Watanabe stated that the music of Icelandic band Sigur R&oacute;s gave him visual images that inspired the series and its soundtrack. He also states that the team went to Iceland to record the music."
"Wake Up, Girls!","Drama, Music","Wake Up, Girls! was announced by the production company Avex Entertainment, who helmed the series in collaboration with director Yutaka Yamamoto and voice talent agency 81 Produce. The anime was billed as the Lucky☆Star reunion as Yamamoto would once again work with scriptwriter/series composer Touko Machida and MONACA composer Satoru Kousaki. Avex and 81 Produce held open auditions for the voice actresses who would voice and sing as the Wake Up, Girls! idol group and over 2000 candidates auditioned. The anime served as the V.A. debut for the seven eventual winners. In addition, the winners all shared their given name with the character they voiced.","Drama, Music Wake Up, Girls! was announced by the production company Avex Entertainment, who helmed the series in collaboration with director Yutaka Yamamoto and voice talent agency 81 Produce. The anime was billed as the Lucky☆Star reunion as Yamamoto would once again work with scriptwriter/series composer Touko Machida and MONACA composer Satoru Kousaki. Avex and 81 Produce held open auditions for the voice actresses who would voice and sing as the Wake Up, Girls! idol group and over 2000 candidates auditioned. The anime served as the V.A. debut for the seven eventual winners. In addition, the winners all shared their given name with the character they voiced."
McDull: Boluo You Wang Zi,Comedy,The film won Best Animation Feature at the 41st Golden Horse Awards.,Comedy The film won Best Animation Feature at the 41st Golden Horse Awards.
Divine Gate,"Action, Sci-Fi, Fantasy","Episode 1 was previewed at a screening at TOHO Cinemas Shinjuku on December 26, 2015. Regular broadcasting began on January 8, 2016.","Action, Sci-Fi, Fantasy Episode 1 was previewed at a screening at TOHO Cinemas Shinjuku on December 26, 2015. Regular broadcasting began on January 8, 2016."
Dragon Crisis!,"Action, Magic, Romance, School, Seinen, Supernatural","The first episode received a free online preview at online streaming service GyaO! starting on Thursday, 16th December, 2010 until Wednesday, 22nd December. 1000 lucky participants in possession of a Yahoo Japan ID were given the chance to see it through an online lottery. The regular television broadcast started on January 11, 2011.","Action, Magic, Romance, School, Seinen, Supernatural The first episode received a free online preview at online streaming service GyaO! starting on Thursday, 16th December, 2010 until Wednesday, 22nd December. 1000 lucky participants in possession of a Yahoo Japan ID were given the chance to see it through an online lottery. The regular television broadcast started on January 11, 2011."
18if,"Mystery, Supernatural",18if is a part of a multi-media project that also includes a mobile game and a virtual reality game.,"Mystery, Supernatural 18if is a part of a multi-media project that also includes a mobile game and a virtual reality game."
Niuniu Elise PV,Slice of Life,The Elise stamp set was downloaded over 400 million times as of February 2017 and is overwhelmingly popular with Chinese women in their teens to 30s.(Source: ANN),Slice of Life The Elise stamp set was downloaded over 400 million times as of February 2017 and is overwhelmingly popular with Chinese women in their teens to 30s.(Source: ANN)
Urashima Tarou,Historical,"The film was made available online as part of the National Project for the Sustainability of Born-Digital Cinema, supported by the Agency for Cultural Affairs, Government of Japan in the fiscal 2016.","Historical The film was made available online as part of the National Project for the Sustainability of Born-Digital Cinema, supported by the Agency for Cultural Affairs, Government of Japan in the fiscal 2016."
Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen",Yuu☆Yuu☆Hakusho was voted as the second best anime of the year in 1993 and best anime of the year in 1994 and 1995 at the Animage Anime Grand Prix.,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen Yuu☆Yuu☆Hakusho was voted as the second best anime of the year in 1993 and best anime of the year in 1994 and 1995 at the Animage Anime Grand Prix."
Densetsu no Yuusha no Densetsu,"Action, Adventure, Magic, Fantasy, Shounen","Advanced screening on June 26, 2010. The regular TV airing started on July 2, 2010. ","Action, Adventure, Magic, Fantasy, Shounen Advanced screening on June 26, 2010. The regular TV airing started on July 2, 2010. "
Sabage-bu!,"Action, Military, Comedy, Shoujo","Episode 1 was streamed in advance on June 28, 2014 on Nico Nico Douga. Regular TV broadcasting began on July 6, 2014.","Action, Military, Comedy, Shoujo Episode 1 was streamed in advance on June 28, 2014 on Nico Nico Douga. Regular TV broadcasting began on July 6, 2014."
Haikyuu!!: Lev Genzan!,"Sports, Shounen","Haikyuu!!: Lev Kenzan! (ハイキュー!! リエーフ見参！) was screened at Jump Festa 2014 on November 9, 2014. The OVA was later bundled with the 15th volume of the manga, released March 4, 2015.","Sports, Shounen Haikyuu!!: Lev Kenzan! (ハイキュー!! リエーフ見参！) was screened at Jump Festa 2014 on November 9, 2014. The OVA was later bundled with the 15th volume of the manga, released March 4, 2015."
Quote,Music,Amador was also used as the theme song for Road to You: Kimi e to Tsuzuku Michi.,Music Amador was also used as the theme song for Road to You: Kimi e to Tsuzuku Michi.
Working!!!,"Comedy, Romance, Slice of Life","Episode 1 was previewed at screenings at Sofmap, Toranoana, Animate, and Gamers stores throughout Japan on June 13, 2015. Regular broadcasting began on July 5, 2015.","Comedy, Romance, Slice of Life Episode 1 was previewed at screenings at Sofmap, Toranoana, Animate, and Gamers stores throughout Japan on June 13, 2015. Regular broadcasting began on July 5, 2015."
Schwarzesmarken,"Action, Military, Sci-Fi, Historical, Drama, Mecha","Schwarzesmarken takes place in an alternate universe of the Muv-Luv franchise, following the storyline of the light novels. A visual novel was released on November 27, 2015, and a second was announced for 2016.","Action, Military, Sci-Fi, Historical, Drama, Mecha Schwarzesmarken takes place in an alternate universe of the Muv-Luv franchise, following the storyline of the light novels. A visual novel was released on November 27, 2015, and a second was announced for 2016."
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)","Cars, Comedy","Kinyoru, Abe Reiji the anime is based on the Kinyoru, Abe Reiji radio show which started broadcast in 2006. The radio show funded by Nissan Motors and as such a commercial-tie-in with the anime to their newest Nissan Serena model was an expected result. The main anime doesn&#039;t directly talk about the car but it is used as part of the ED animation.","Cars, Comedy Kinyoru, Abe Reiji the anime is based on the Kinyoru, Abe Reiji radio show which started broadcast in 2006. The radio show funded by Nissan Motors and as such a commercial-tie-in with the anime to their newest Nissan Serena model was an expected result. The main anime doesn&#039;t directly talk about the car but it is used as part of the ED animation."
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Psychological, Drama, Magic, Thriller","Hajimari no Monogatari is the first of the two recap movies, released on October 6, 2012. It features the theme song ""Luminous"" by ClariS as the OP and a new version of ""Magia"", ""Magia [quattro]"" by Kalafina as the ED. The movie is 130 minutes long, covering the first eight episodes of the anime series. It earned &yen;570 million at the Japanese box office.","Psychological, Drama, Magic, Thriller Hajimari no Monogatari is the first of the two recap movies, released on October 6, 2012. It features the theme song ""Luminous"" by ClariS as the OP and a new version of ""Magia"", ""Magia [quattro]"" by Kalafina as the ED. The movie is 130 minutes long, covering the first eight episodes of the anime series. It earned &yen;570 million at the Japanese box office."
Pupa,"Fantasy, Horror, Psychological","Episode 1 will be previewed at a screening at Aeon Cinema Makuhari Shintoshin in Chiba Prefecture on December 21, 2013. Regular broadcasting will begin on January 10, 2014.","Fantasy, Horror, Psychological Episode 1 will be previewed at a screening at Aeon Cinema Makuhari Shintoshin in Chiba Prefecture on December 21, 2013. Regular broadcasting will begin on January 10, 2014."
Jin-Rou,"Military, Police, Psychological, Drama, Romance","In 1999 Jin-Rou won second place for the Best Asian Film award at the Fant-Asia Film Festival in Canada. It also won the Best Film &ndash; Animation (Fantasia Section Award) and the Special Jury Award (International Fantasy Film Special Jury Award) at the Fantasporto Film Festival in Portugal. In 2000, it won the Minami Toshiko Award during the Yubari International Fantastic Film Festival. It won the Best Animated Film at the Mainichi Film Concours. In 2001 it won the Special Award at the Japanese Professional Movie Awards.","Military, Police, Psychological, Drama, Romance In 1999 Jin-Rou won second place for the Best Asian Film award at the Fant-Asia Film Festival in Canada. It also won the Best Film &ndash; Animation (Fantasia Section Award) and the Special Jury Award (International Fantasy Film Special Jury Award) at the Fantasporto Film Festival in Portugal. In 2000, it won the Minami Toshiko Award during the Yubari International Fantastic Film Festival. It won the Best Animated Film at the Mainichi Film Concours. In 2001 it won the Special Award at the Japanese Professional Movie Awards."
Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen","Elfen Lied is based on Lynn Okamoto&#039;s seinen manga series of the same name and premiered while the manga was still in publication. The anime follows the source material through the first 7 volumes, with several alterations to the story, and concludes with an exclusive ending. In an interview, director Mamoru Kanbe expressed his disappointment in having to &#039;condense&#039; to story into 13 episodes and felt that more were needed to include significant plot details that would have made the series more emotive.The artistic design of both the opening and ending sequences are heavily inspired by the works of Austrian symbolist painter Gustav Klimt. Colors and patterns resembling Klimt&#039;s distinct style were used and characters of the series were drawn to recreate several paintings from the artist&rsquo;s golden period, including The Kiss (Lovers). The opening theme Lilium, which is sung in Ecclesiastical Latin, uses lyrics taken from The Bible, the Renaissance hymn Ave mundi spes Maria, as well as the alchemical compendium Theatrum Chemicum.","Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen Elfen Lied is based on Lynn Okamoto&#039;s seinen manga series of the same name and premiered while the manga was still in publication. The anime follows the source material through the first 7 volumes, with several alterations to the story, and concludes with an exclusive ending. In an interview, director Mamoru Kanbe expressed his disappointment in having to &#039;condense&#039; to story into 13 episodes and felt that more were needed to include significant plot details that would have made the series more emotive.The artistic design of both the opening and ending sequences are heavily inspired by the works of Austrian symbolist painter Gustav Klimt. Colors and patterns resembling Klimt&#039;s distinct style were used and characters of the series were drawn to recreate several paintings from the artist&rsquo;s golden period, including The Kiss (Lovers). The opening theme Lilium, which is sung in Ecclesiastical Latin, uses lyrics taken from The Bible, the Renaissance hymn Ave mundi spes Maria, as well as the alchemical compendium Theatrum Chemicum."
Free!,"Slice of Life, Comedy, Sports, Drama, School","Episode 1 was previewed at screening in Marunouchi Piccadilly 3, Tokyo on June 26, 2013. Regular broadcasting began on July 4, 2013.","Slice of Life, Comedy, Sports, Drama, School Episode 1 was previewed at screening in Marunouchi Piccadilly 3, Tokyo on June 26, 2013. Regular broadcasting began on July 4, 2013."
Love Live! The School Idol Movie: Gekijou Manner CM,Comedy,"Three manner movies were created for the film&#039;s theatrical run. They premiered on different days: Printemps on June 13, BiBi on June 20, and Lily White on June 27. After the initial run, the shorts were aired randomly before Love Live! The School Idol Movie. A special screening of the film on June 27 included a fourth manner movie, the Special Stage version, which featured all members of &mu;&#039;s.The manner movie shorts were included as an extra on the Limited Edition Blu-ray release of Love Live! The School Idol Movie.","Comedy Three manner movies were created for the film&#039;s theatrical run. They premiered on different days: Printemps on June 13, BiBi on June 20, and Lily White on June 27. After the initial run, the shorts were aired randomly before Love Live! The School Idol Movie. A special screening of the film on June 27 included a fourth manner movie, the Special Stage version, which featured all members of &mu;&#039;s.The manner movie shorts were included as an extra on the Limited Edition Blu-ray release of Love Live! The School Idol Movie."
Hataraki Man,"Comedy, Drama, Romance, Seinen, Slice of Life",Hataraki Man aired on Fuji Television&#039;s noitaminA block.,"Comedy, Drama, Romance, Seinen, Slice of Life Hataraki Man aired on Fuji Television&#039;s noitaminA block."
Asa da yo! Kaishain,Comedy,"Asa da yo! Kaishain is an offshoot of a series of theatrical shorts. The TV series will include additional characters and will air within the ZIP morning program, which begins at 06:45 AM. It will air on weekdays, Monday through Friday.","Comedy Asa da yo! Kaishain is an offshoot of a series of theatrical shorts. The TV series will include additional characters and will air within the ZIP morning program, which begins at 06:45 AM. It will air on weekdays, Monday through Friday."
One Punch Man,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen","Episodes 1 and 2 were previewed at a screening in Saitama city cultural center (small hall) on September 6, 2015. Regular broadcasting began on October 5, 2015. One Punch Man is based on Yusuke Murata&#039;s manga remake of ONE&#039;s original web comic. The anime adapts the first 7 volumes of the manga.","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen Episodes 1 and 2 were previewed at a screening in Saitama city cultural center (small hall) on September 6, 2015. Regular broadcasting began on October 5, 2015. One Punch Man is based on Yusuke Murata&#039;s manga remake of ONE&#039;s original web comic. The anime adapts the first 7 volumes of the manga."
JA Kumamoto Keizairen,Music,"The Internet version of the special was initially streamed via YouTube on May 16, 2016. The shortened television version began airing on May 20.","Music The Internet version of the special was initially streamed via YouTube on May 16, 2016. The shortened television version began airing on May 20."
Paradise Kiss,"Slice of Life, Comedy, Drama, Romance, Josei",Paradise Kiss aired on Fuji Television&#039;s noitaminA block.,"Slice of Life, Comedy, Drama, Romance, Josei Paradise Kiss aired on Fuji Television&#039;s noitaminA block."
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,"Mystery, Horror, Supernatural","Corpse Party: Tortured Souls is based off Corpse party BloodCovered: ...Repeated Fear, the 2010 PSP remake of the 1996 PC-9801 RPG survival horror game Corpse Party.","Mystery, Horror, Supernatural Corpse Party: Tortured Souls is based off Corpse party BloodCovered: ...Repeated Fear, the 2010 PSP remake of the 1996 PC-9801 RPG survival horror game Corpse Party."
Seireitsukai no Blade Dance,"Action, Harem, Comedy, Supernatural, Romance, Ecchi, Fantasy, School",Seireitsukai no Blade Dance adapts the first 3 novels of Yuu Shimizu&#039;s light novel series of the same title.,"Action, Harem, Comedy, Supernatural, Romance, Ecchi, Fantasy, School Seireitsukai no Blade Dance adapts the first 3 novels of Yuu Shimizu&#039;s light novel series of the same title."
Shakugan no Shana S,"Action, Drama, Fantasy, Romance, School, Supernatural","#1: ReshuffleDue to the effect of Friagne&#039;s treasure device, the bodies of Shana and Yuji are swapped. They try to overcome the situation secretly, but...#2: DomicileRecently, Shana has been acting strangely. Worried about her well-being, Yuji and Wilhelmina decide to follow her from the shadows after school one day. What secret could Shana be hiding?#3: Overture (Part I)While hunting for a certain Denizen, Shana steals the existence of a torch named Junko Oogami in order to make her investigation throughout the city easier while also dealing with the family problems left behind by Junko when she was devoured.#4: Overture (Part II)Continuation of episode 3.","Action, Drama, Fantasy, Romance, School, Supernatural #1: ReshuffleDue to the effect of Friagne&#039;s treasure device, the bodies of Shana and Yuji are swapped. They try to overcome the situation secretly, but...#2: DomicileRecently, Shana has been acting strangely. Worried about her well-being, Yuji and Wilhelmina decide to follow her from the shadows after school one day. What secret could Shana be hiding?#3: Overture (Part I)While hunting for a certain Denizen, Shana steals the existence of a torch named Junko Oogami in order to make her investigation throughout the city easier while also dealing with the family problems left behind by Junko when she was devoured.#4: Overture (Part II)Continuation of episode 3."
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance","The first episode was streamed on June 28, 2012 during a special event on Nico Nico Douga. The regular TV broadcast started on July 6, 2012. ","Comedy, Ecchi, Fantasy, Harem, Magic, Romance The first episode was streamed on June 28, 2012 during a special event on Nico Nico Douga. The regular TV broadcast started on July 6, 2012. "
